,Accuracy (%),Kappa Statistic,Precision,Recall,F1-Score
J48 (Decision Tree),97.37500000000001,0.9664556962025317,0.981111111111111,0.9737500000000001,0.9727619047619047
kNN,90.5,0.8742022258557941,0.9252777777777776,0.905,0.9001825396825396
Naive Bayes,93.66666666666667,0.9161171194935374,0.956111111111111,0.9366666666666668,0.9366507936507936
