feature,importance
total_crimes,0.1844671524128046
avg_crimes,0.1828545150501672
min_crimes,0.12630936454849498
growth_rate,0.11384472049689438
recent_growth,0.11361789297658863
max_crimes,0.09034018155757285
recent_avg,0.08767486860965124
volatility,0.07489882943143812
cluster_encoded,0.02599247491638796
