state,year,forecast
Selangor,2024,11159.03446344697
Selangor,2025,11501.237541204484
W.P. Kuala Lumpur,2024,3939.705722959348
W.P. Kuala Lumpur,2025,4248.377782867667
Johor,2024,4406.337306926189
Johor,2025,4672.680116610089
